name,address,location,latitude,longitude,contactno,parkingfacility,cinema,cinemaoffer,restaurant,entertainment,website,email,logo,description,specialoffers,events,facebookpage,pininterest,instagram,twitterpage,city
Growels 101 Mall,"Akurli Rd, Off.Western Express Highway, Kandivali East, Mumbai, Maharashtra 400101",Kandivali (east),19.203321,72.859505,022-66993402,Yes,Cinemax,,"Food Court, Zaffran, Balaji, McDonald's",,www.growels101.com/,marketing@growel.com,,"Growel’s 101 strategically located in the western suburbs ( Kandivli ) has an ideal mix of fashion, retail, hypermarket, consumer durables, department stores, white goods, books, health & beauty, family entertainment centres, fine dining restaurants, food court, and a 4 screen multiplex. The mall is anchored by prominent retailers such as Mc Donald’s, Pantaloons, Big Bazaar, Cinemax and E Zone amongst other international and national retailers.",,,,,,,Mumbai 
Infiniti Mall,"Infiniti Mall, New Link Road, Oshiwara, Andheri West, Mumbai- 400053",Andheri (west),19.141295,72.830681,022-61319191,Yes,Cinemax,,"Panchavati Gaurav, TGIF, Food Court",Gamezone,www.infinitimall.com,gm.andheri@infinitimall.com,,,,,,,,,Mumbai 
Crossroad 2,"A/240, Barrister Rajni Patel Road, Nariman Point, Mumbai - 400021",Nariman Point,18.926537,72.822597,022-66548907,Yes,Inox,,"Ristorante Prego, Subway, The Coffee Bean & Tea Leaf, Spaghetti Kitchen, Paninaro, Spoon, Swati, Not Just Dosa, Bombay Blue Express, Simply Sizzlers, Hot'wich, Moti Mahal Delux, Kabab Company, Pastelitos, China Town, Brownie Cottage, Gelato Italiano, Bubble Blog, Shawarma King, Pizza for Friends, Bateel, Hooked on Pasta",,,,,,,,,,,,Mumbai 
Atria Mall,"Dr. Annie Beasent Road, Worli, Mumbai - 400018",Worli,18.991826,72.814482,022-24813333,Yes,,,"Café Coffee Day, Food Court, Gelato","Gaming Zone, Ice Skating, Orama 3D/4D Theatre",www.atriamumbai.in,atria@atriamumbai.in,,,,,,,,,Mumbai 
Alpha One Mall,"AlphaOne Ahmedabad,Plot No-216,T.P Scheme-1, Near VastrapurLake, Vastrapur, Ahmedabad 380006",Vastrapur,23.040102,72.531496,079-40193662,Yes,Cinepolis,,,,http://www.alphaoneahmedabad.com/,,,,,,,,,,Ahmedabad
Iscon Mega Mall,"Iscon Mega Mall, Near Iskcon Temple, SG Highway,Bodakdev, Ahmedabad, Gujarat 380054",SG Road,23.030495,72.507905,079-40040282,Yes,,,,,http://isconmegamall.com/,ahmedabadmall@iscongroup.com,,,,,,,,,Ahmedabad
4D Square Mall,"4D Square Mall, Near Sangat Mall, Visat Gandhinagar Highway, Kalol Rd, Chandkheda, Motera, Ahmedabad, Gujarat 382424",Motera,23.103037,72.595641,,Yes,,,,,,,,,,,,,,,Ahmedabad
Gulmohar Park Mall,"Gulmohar Park Mall, Satellite Road, Satellite, Ahmedabad, Gujarat - 380015",Satellite,23.026551,72.509847,079-30425800 ,Yes,,,,,,,,,,,,,,,Ahmedabad
The Forum Mall,"Forum Mall, 21, Hosur Rd, Koramangala, Bengaluru, Karnataka 560095",Koramangala,12.934459,77.611341,080-22067752,Yes,PVR Cinemas,,,,http://www.theforumexperience.com/,ccare@theforumexperience.com,,,,,,,,,Bangalore
Garuda Mall,"Garuda Mall, 15, Magrath Rd, Ashok Nagar, Bengaluru, Karnataka 560025",Magrath Road,12.97006,77.609783,080-40698857,Yes,Inox,,,,http://garudamall.in/,customerservice@garudamall.net,,,,,,,,,Bangalore
Inorbit Mall,"Inorbit Mall,  No 75, 8th Road, EPIP Zone, Whitefield, Bengaluru, Karnataka 560066",Whitefield,12.979497,77.728692,080-67280000,Yes,,,,,http://inorbit.in/whitefield/,info.whitefield@inorbit.in,,,,,,,,,Bangalore
Mantri Square Mall,"Mantri Square, No 1, Malleshwaram, Sampige Road, Jai Bheema Nagar, Sampangiram Nagar, Bangalore, Karnataka 560003",Malleswaram,12.991923,77.570897,080-30160001,Yes,,,,,http://www.mantrisquare.com/,infodesk@mantrisquare.com,,,,,,,,,Bangalore
Orion Mall,"Orion Mall, Brigade Gateway, 26/1 Dr. Rajkumar Road, Malleshwaram West, Bangalore - 560055",Brigade Gateway,13.010986,77.555018,080-67282222,Yes,,,,,http://orionmalls.com/,feedback@orionmalls.com,,,,,,,,,Bangalore
Park Square Mall,"Park Square Mall, ITPL Main Rd, Pattandur Agrahara, Whitefield, Bengaluru, Karnataka 560066",Whitefield,12.986858,77.736409,080-41880888,Yes,,,,,,parksquare@ascendas.com,,,,,,,,,Bangalore
Phoenix Marketcity,"Phoenix Marketcity, 1st Floor, 106/107, Whitefield Road, Devasandra Industrial Estate, K.R Puram, Bangalore, Karnataka 560048",Whitefield,12.996959,77.696228,080–67266111,Yes,,,,,http://phoenixmarketcitybangalore.com/,,,,,,,,,,Bangalore
The Collection UB City,"UB City, 24, Vittal Mallya Road, KG Halli, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001",Vittal Mallya Road,12.971502,77.595985,080-22711488,,,,,,http://www.ubcitybangalore.in/,,,,,,,,,,Bangalore
The Forum Value Mall,"The Forum Value Mall, 62, Whitefield Main Rd, Whitefield, Bangalore, Karnataka 560066",Whitefield,12.959629,77.747971,080-25043700,,,,,,http://www.forumvaluemall.com/,infodesk.fvm@crpmm.com,,,,,,,,,Bangalore
Total Shopping Mall,"Total Shopping Mall, Hosur Rd, Koramangala 2B Block, Koramangala, Bengaluru, Karnataka 560034",Koramangala,12.921909,77.620296,080-41559299,,,,,,http://www.totalsuperstore.com/,,,,,,,,,,Bangalore
Ambience Mall,"Ambience Mall, National Highway 8, Ambience Island, Gurgaon, Haryana 122001",Gurgaon,28.503883,77.097273,7859824869,,,,,,http://www.ambiencemalls.com/,,,,,,,,,,Delhi NCR
Ambience Mall Vasant Kunj,"Ambience Mall Vasant Kunj, 2, Nelson Mandela Marg, Vasant Kunj, New Delhi, DL 110070",Vasant Kunj,28.541221,77.154967,011-40870064,,,,,,http://www.ambiencemalls.com/,,,,,,,,,,Delhi NCR
Ansal Plaza,"Ansal Plaza, August Kranti Marg, Hudco Place, Andrews Ganj, New Delhi, DL 110049",Andrews Ganj,28.562743,77.224429,011-26250957,,,,,,http://www.ansalplaza.in/delhi/index.aspx?mid=7,,,,,,,,,,Delhi NCR
Ansal Plaza Gurgaon,"Ansal Plaza, Sector 23, Palam Vihar, Gurgaon, Haryana 122017",Palam Vihar,28.516024,77.04459,0124-2360762,,,,,,http://ansalplaza.in/Palam_Vihar/index.aspx?mid=11,,,,,,,,,,Delhi NCR
City Square Mall,"City Square Mall, Najafgarh Rd, Rajouri Garden, New Delhi, DL",Rajouri Garden,28.650267,77.12327,,,,,,,,,,,,,,,,,Delhi NCR
DLF Emporio,"DLF Emporio, 4, Nelson Mandela Road, Vasant Kunj II,, Vasant Kunj, New Delhi, Delhi 110070",Vasant Kunj,28.543467,77.156693,011-46116666,,,,,,http://www.dlfemporio.com/,dlfemporio@dlf.in,,,,,,,,,Delhi NCR
DLF Place,"DLF Place, A4, Saket District Centre, Press Enclave Road, Saket, New Delhi, Delhi 110017",Saket,28.528156,77.216676,011-46064444,,,,,,http://dlfplace.in/,,,,,,,,,,Delhi NCR
DLF Promenade,"DLF Promenade, # 3, Nelson Mandela Road, Vasant Kunj Malls, Vasant Kunj II, New Delhi, Delhi 110070",Vasant Kunj,28.542599,77.155741,011-46104466 ,,,,,,http://dlfpromenade.com/,dlfpromenade@dlf.in,,,,,,,,,Delhi NCR
MGF Metropolitan Mall,"MGF Metropolitan Mall, A-2,Press Enclave Marg, District Centre, Saket, New Delhi, DL 110017",Saket,28.529572,77.220171,,,,,,,,,,,,,,,,,Delhi NCR
MGF Metropolitan Mall,"MGF Metropolitan Mall, Mehrauli-Gurgaon Rd, Heritage City, Sector 25, Gurgaon, Haryana 122001",Gurgaon,28.480102,77.080372,,,,,,,,,,,,,,,,,Delhi NCR
Moments Mall,"Moments Mall, Patel Road, Next to Kirti Nagar Metro Station, New Delhi – 110015",Kirti Nagar,28.657056,77.146458,011-41531111,,,,,,http://www.momentsmall.com/,info@momentsmall.com,,,,,,,,,Delhi NCR
Pacific Mall,"Pacific Mall, Najafgarh Road, Tagore Garden, New Delh, DL 110018",Subhash Nagar,28.642551,77.106141,011-40903000,,,,,,http://www.shoppacific.in/area.htm,,,,,,,,,,Delhi NCR
Select Citywalk Mall,"Select Citywalk Mall, A-3m District Centre Saket, Sector 6, Pushp Vihar, New Delhi, DL 110017",Saket,28.528282,77.218303,011-42114211,,,,,,http://www.selectcitywalk.com/,contact@selectcitywalk.com,,,,,,,,,Delhi NCR
TDI Mall,"TDI Mall, Plot No.11, Shivaji Place Complex, Vishal Cinema Rd, Block A, Rajouri Garden, Tagore Garden, New Delhi, DL",Rajouri Garden,28.650824,77.120725,011-49133333,,,,,,,,,,,,,,,,Delhi NCR
The Great India Place,"The Great India Place, Plot No. A-2, Sector-38-A, Noida, Uttar Pradesh 201301","Sector 38, Noida",28.567512,77.325943,0120-4650000,,,,,,http://www.thegreatindiaplace.in/,info@thegreatindiaplace.in,,,,,,,,,Delhi NCR
Amrutha Mall,"Amrutha Mall, Somajiguda Circle, Somajiguda, Hyderabad, Telangana 500082",Somajiguda,17.428896,78.455946,,,,,,,,,,,,,,,,,Hyderabad
City Centre Mall,"City Centre Mall, Road Number 1, Zehra Nagar, Banjara Hills, Hyderabad, Telangana 500034",Banjara Hills,17.415174,78.449023,,,,,,,,,,,,,,,,,Hyderabad
Hyderabad Central Mall,"Hyderabad Central, Municpal Number 6-3-673,674,674/1, Punjagutta Cross Road, Punjagutta, Hyderabad, Telangana 500082",Punjagutta Road,17.42669,78.453112,040-66430000,,,,,,,,,,,,,,,,Hyderabad
Inorbit Mall,"Inorbit Mall, APIIC Software Layout, Mindspace, Madhapur, Hyderabad, Telangana 500081",Madhapur,17.43433,78.386911,040-44880000,,,,,,http://inorbit.in/,info.cyberabad@inorbit.in,,,,,,,,,Hyderabad
Avani Riverside Mall,"Avani Riverside Mall, 32, Jagat Banerjee Ghat Rd, Howrah, West Bengal 711102",Howrah,22.563346,88.323779,033-33129000,,,,,,http://www.avaniriversidemall.com/,,,,,,,,,,Kolkata
Axis Mall,"Axis Mall, Plot No. CF9, Major Arterial Rd, Action Area 1C, Rajarhat Newtown, Kolkata, West Bengal 700156",Newtown,22.57943,88.459777,033-32006827,,,,,,http://www.bengalpeerless.com/axis/,axiskolkata@bengalpeerless.com,,,,,,,,,Kolkata
City Centre Mall,"City Centre, Sector-1, Block DC, Salt Lake City, Kolkata, West Bengal 700064",Salt Lake City,22.588141,88.408343,033-23581011,,,,,,http://saltlake.citycentremalls.in/,,,,,,,,,,Kolkata
City Centre mall,"City Centre New Town, IID/5, JL No.-11, Action Area, Mouza Nowapara, Rajarhat, Kolkata, West Bengal 700157",Newtown,22.622769,88.450278,033-25266000,,,,,,http://newtown.citycentremalls.in/,,,,,,,,,,Kolkata
Forum Mall,"Forum Mall, 10/3, Lala Lajpat Rai Sarani, Sreepally, Bhowanipore, Kolkata, West Bengal",Bhowanipore,22.538207,88.351251,033-22836022,,,,,,,,,,,,,,,,Kolkata
Mani Square Mall,"Mani Square Mall, Eastern Metropolitan Bypass, Kankurgachi, Kolkata, West Bengal 700054",Kankurgachi,22.577706,88.400863,033-23201878,,,,,,http://www.manisquaremall.com/, mallcustomercare@mani-group.com,,,,,,,,,Kolkata
Metropolis Mall ,"Metropolis Mall, Eastern Metropolitan Bypass, Hiland Park, Chakgaria, Kolkata, West Bengal 700075",Hiland Park,22.483221,88.390673,,,,,,,,,,,,,,,,,Kolkata
Quest Mall,"Quest Mall, Syed Amir Ali Ave, Park Circus, Beck Bagan, Ballygunge, Kolkata, West Bengal 700017",Park Circus,22.539305,88.365729,,,,,,,,,,,,,,,,,Kolkata
South City Mall,"South City Mall, Prince Anwar Shah Rd, South City, South City Complex, Jadavpur, Kolkata, West Bengal 700068",Prince Anwar Shah Road,22.50144,88.361746,,,,,,,http://southcitymall.in/,,,,,,,,,,Kolkata
Inorbit Mall,"Inorbit Mall Pune, Opp CTR Factory, Wadgaon Sheri, Pune Nagar Road, Pune – 411014",Wadgaon Sheri ,18.560361,73.920568,020-66878600,,,,,,http://inorbit.in/pune/,info.pune@inorbit.in,,,,,,,,,Pune
Phoenix Marketcity,"Phoenix Market City Pune, S No. 207, Viman Nagar Road, Pune Nagar Road Highway, Pune, Maharashtra 411014",Viman Nagar,18.562288,73.916869,020-33444444,,,,,,http://www.phoenixmarketcitypune.com/,infopune@marketcity.in,,,,,,,,,Pune
Ramee Mall,"Ramee Mall, 365, Annai Salai, Poes Road, Subbarayan Nagar, Teynampet, Chennai, Tamil Nadu 600018",Anna Salai,13.042912,80.248398,044-32453987,,,,,,http://www.rameemall.com,admin@rameemall .com,,,,,,,,,Chennai
Express Avenue,"Express Avenue, Plot No.213, Whites Road, Royapettah, Chennai, Tamil Nadu 600014",Royapettah,13.058702,80.264064,044-28464656,,,,,,http://expressavenue.in/,,,,,,,,,,Chennai
Phoenix Marketcity,"Phoenix Marketcity, 142, Velachery Main Road, Near Gurunanak College, Velachery, Chennai, Tamil Nadu 600042",Velachery,12.991242,80.216447,044-30083008,,,,,,http://www.phoenixmarketcitychennai.com/,infochennai@phoenixmarketcity.in,,,,,,,,,Chennai
The Forum Vijaya Mall,"The Forum Vijaya Mall, #183, NSK Salai, Arcot Road, Vadapalani, Chennai - 600 026.",Vadapalani,13.050583,80.209571,044-49049000,,,,,,http://www.theforumvijayamallchennai.com/index.php,feedback@theforumvijayamallchennai.com,,,,,,,,,Chennai
Chennai City Centre,"Chennai City Centre, Mylapore, Chennai, Tamil Nadu",Mylapore,13.043319,80.27382,9882737392,,,,,,http://chennaiciticenter.com/,,,,,,,,,,Chennai
